id,name,state_id
res_country_city_232,黄南藏族自治州,青海省
res_country_city_233,西宁市,青海省
res_country_city_234,玉树藏族自治州,青海省
res_country_city_235,滨州市,山东省
res_country_city_236,德州市,山东省
res_country_city_237,东营市,山东省
res_country_city_238,菏泽市,山东省
res_country_city_239,济南市,山东省
res_country_city_240,济宁市,山东省
res_country_city_241,莱芜市,山东省
res_country_city_242,聊城市,山东省
res_country_city_243,临沂市,山东省
res_country_city_244,青岛市,山东省
res_country_city_245,日照市,山东省
res_country_city_246,泰安市,山东省
res_country_city_247,威海市,山东省
res_country_city_248,潍坊市,山东省
res_country_city_249,烟台市,山东省
res_country_city_250,枣庄市,山东省
res_country_city_251,淄博市,山东省
res_country_city_252,长治市,山西省
res_country_city_253,大同市,山西省
res_country_city_254,晋城市,山西省
res_country_city_255,晋中市,山西省
res_country_city_256,临汾市,山西省
res_country_city_257,吕梁市,山西省
res_country_city_258,朔州市,山西省
res_country_city_259,太原市,山西省
res_country_city_260,忻州市,山西省
res_country_city_261,阳泉市,山西省
res_country_city_262,运城市,山西省
res_country_city_263,安康市,陕西省
res_country_city_264,宝鸡市,陕西省
res_country_city_265,汉中市,陕西省
res_country_city_266,商洛市,陕西省
res_country_city_267,铜川市,陕西省
res_country_city_268,渭南市,陕西省
res_country_city_269,西安市,陕西省
res_country_city_270,西咸新区,陕西省
res_country_city_271,咸阳市,陕西省
res_country_city_272,延安市,陕西省
res_country_city_273,榆林市,陕西省
res_country_city_274,上海市,上海市
res_country_city_275,阿坝藏族羌族自治州,四川省
res_country_city_276,巴中市,四川省
res_country_city_277,成都市,四川省
res_country_city_278,达州市,四川省
res_country_city_279,德阳市,四川省
res_country_city_280,甘孜藏族自治州,四川省
res_country_city_281,广安市,四川省
res_country_city_282,广元市,四川省
res_country_city_283,乐山市,四川省
res_country_city_284,凉山彝族自治州,四川省
res_country_city_285,泸州市,四川省
res_country_city_286,眉山市,四川省
res_country_city_287,绵阳市,四川省
res_country_city_288,内江市,四川省
res_country_city_289,南充市,四川省
res_country_city_290,攀枝花市,四川省
res_country_city_291,遂宁市,四川省
res_country_city_292,雅安市,四川省
res_country_city_293,宜宾市,四川省
res_country_city_294,资阳市,四川省
res_country_city_295,自贡市,四川省
res_country_city_296,高雄市,台湾省
res_country_city_297,花莲县,台湾省
res_country_city_298,基隆市,台湾省
res_country_city_299,嘉义市,台湾省
res_country_city_300,嘉义县,台湾省
res_country_city_301,金门县,台湾省
res_country_city_302,连江县,台湾省
res_country_city_303,苗栗县,台湾省
res_country_city_304,南投县,台湾省
res_country_city_305,澎湖县,台湾省
res_country_city_306,屏东县,台湾省
res_country_city_307,台北市,台湾省
res_country_city_308,台东县,台湾省
res_country_city_309,台南市,台湾省
res_country_city_310,台中市,台湾省
res_country_city_311,桃园县,台湾省
res_country_city_312,新北市,台湾省
res_country_city_313,新竹市,台湾省
res_country_city_314,新竹县,台湾省
res_country_city_315,宜兰县,台湾省
res_country_city_316,云林县,台湾省
res_country_city_317,彰化县,台湾省
res_country_city_318,天津市,天津市
res_country_city_319,阿里地区,西藏自治区
res_country_city_320,昌都市,西藏自治区
res_country_city_321,拉萨市,西藏自治区
res_country_city_322,林芝地区,西藏自治区
res_country_city_323,那曲地区,西藏自治区
res_country_city_324,日喀则市,西藏自治区
res_country_city_325,山南地区,西藏自治区
res_country_city_326,九龙,香港特别行政区
res_country_city_327,香港岛,香港特别行政区
res_country_city_328,新界,香港特别行政区
res_country_city_329,阿克苏地区,新疆维吾尔自治区
res_country_city_330,阿勒泰地区,新疆维吾尔自治区
res_country_city_331,巴音郭楞蒙古自治州,新疆维吾尔自治区
res_country_city_332,博尔塔拉蒙古自治州,新疆维吾尔自治区
res_country_city_333,昌吉回族自治州,新疆维吾尔自治区
res_country_city_334,哈密地区,新疆维吾尔自治区
res_country_city_335,和田地区,新疆维吾尔自治区
res_country_city_336,喀什地区,新疆维吾尔自治区
res_country_city_337,克拉玛依市,新疆维吾尔自治区
res_country_city_338,克孜勒苏柯尔克孜自治州,新疆维吾尔自治区
res_country_city_339,塔城地区,新疆维吾尔自治区
res_country_city_340,吐鲁番地区,新疆维吾尔自治区
res_country_city_341,乌鲁木齐市,新疆维吾尔自治区
res_country_city_342,伊犁哈萨克自治州,新疆维吾尔自治区
